"Salable Quantity","Salable Quantity"


"Enable Module","Enable Module", module, PeterBrain_SalableQty
"Select Yes to enable module output.","Select Yes to enable module output.", module, PeterBrain_SalableQty
"Select ""Yes"" to enable and ""No"" to disable module output.","Select ""Yes"" to enable and ""No"" to disable module output.", module, PeterBrain_SalableQty

"Disable Add to Cart Button","Disable Add to Cart Button", module, PeterBrain_SalableQty
"Select Yes to disable the ""Add to Cart"" button when the saleable quantity is 0.","Select Yes to disable the ""Add to Cart"" button when the saleable quantity is 0.", module, PeterBrain_SalableQty
"Select ""Yes"" to disable and ""No"" to leave ""Add to Cart"" button at default.","Select ""Yes"" to disable and ""No"" to leave ""Add to Cart"" button at default.", module, PeterBrain_SalableQty

"Enable Add to Cart Button Icon","Enable Add to Cart Button Icon", module, PeterBrain_SalableQty
"Select Yes to enable the ""Add to Cart"" button icon when the saleable quantity is 0.","Select Yes to enable the ""Add to Cart"" button icon when the saleable quantity is 0.", module, PeterBrain_SalableQty
"Select ""Yes"" to enable and ""No"" to disable ""Add to Cart"" button icon.","Select ""Yes"" to enable and ""No"" to disable ""Add to Cart"" button icon.", module, PeterBrain_SalableQty


"Frontend Message","Frontend Message", module, PeterBrain_SalableQty
"Configuration for the output of messages on the frontend. Note: The configuration of the threshold message is located in the threshold group below.","Configuration for the output of messages on the frontend. Note: The configuration of the threshold message is located in the threshold group below.", module, PeterBrain_SalableQty

"Enable Message","Enable Message", module, PeterBrain_SalableQty
"Select Yes to enable message output.","Select Yes to enable message output.", module, PeterBrain_SalableQty
"Select ""Yes"" to enable and ""No"" to disable message output.","Select ""Yes"" to enable and ""No"" to disable message output.", module, PeterBrain_SalableQty

"Message for Saleable Quantity = 0","Message for Saleable Quantity = 0", module, PeterBrain_SalableQty
"This message is displayed when the product has already been ordered but not yet shipped and the quantity is 1 (saleable quantity = 0). The default behavior of Magento is to display an error message that the requested quantity is no longer available. This can cause confusion as the product will continue to be displayed as ""in stock"" until it is shipped.","This message is displayed when the product has already been ordered but not yet shipped and the quantity is 1 (saleable quantity = 0). The default behavior of Magento is to display an error message that the requested quantity is no longer available. This can cause confusion as the product will continue to be displayed as ""in stock"" until it is shipped.", module, PeterBrain_SalableQty
"Default message: Out of stock. Suggestion: This product has been sold recently and is no longer available.","Default message: Out of Stock. Suggestion: This product has been sold recently and is no longer available.", module, PeterBrain_SalableQty
"Out of stock","Out of stock", module, PeterBrain_SalableQty


"Threshold","Threshold", module, PeterBrain_SalableQty
"Minimum quantity threshold configuration. Display a message on the frontend when the saleable quantity matches or drops below a certain threshold.","Minimum quantity threshold configuration. Display a message on the frontend when the saleable quantity matches or drops below a certain threshold.", module, PeterBrain_SalableQty

"Enable Quantity Threshold","Enable Quantity Threshold", module, PeterBrain_SalableQty
"Select Yes to enable quantity threshold.","Select Yes to enable quantity threshold.", module, PeterBrain_SalableQty
"Select ""Yes"" to enable and ""No"" to disable quantity threshold.","Select ""Yes"" to enable and ""No"" to disable quantity threshold.", module, PeterBrain_SalableQty

"Quantity Threshold","Quantity Threshold", module, PeterBrain_SalableQty
"Must be a whole number above 1. Default value: 5","Must be a number above 1. Default value: 5", module, PeterBrain_SalableQty
"Minimum threshold at which the message about the remaining quantity is to be displayed.","Minimum threshold at which the message about the remaining quantity is to be displayed.", module, PeterBrain_SalableQty

"Message for Salable Quantity at or below Threshold Value","Message for Salable Quantity at or below Threshold Value", module, PeterBrain_SalableQty
"Default message: Only %1 item(s) left!","Default message: Only %1 item(s) left!", module, PeterBrain_SalableQty
"This message is displayed when the saleable quantity is at or below the threshold. Use %1 to display the remaining quantity (required).","This message is displayed when the saleable quantity is at or below the threshold. Use %1 to display the remaining quantity (required).", module, PeterBrain_SalableQty
"Only %1 item(s) left!","Only %1 item(s) left!", module, PeterBrain_SalableQty
